# ra,dec,dist
3.095170000000014170e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.096170000000014397e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.097170000000014625e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.098170000000014852e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.099170000000015079e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.100170000000015307e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.101170000000015534e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.102170000000015762e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.103170000000015989e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.104170000000016216e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.105170000000016444e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.106170000000016671e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.107170000000016898e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.108170000000017126e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.109170000000017353e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.110170000000017581e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.111170000000017808e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.112170000000018035e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.113170000000018263e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.114170000000018490e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.115170000000018717e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.116170000000018945e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.117170000000019172e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.118170000000019400e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.119170000000019627e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.120170000000019854e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.121170000000020082e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.122170000000020309e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.123170000000020536e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.124170000000020764e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.125170000000020991e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.126170000000021219e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.127170000000021446e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.128170000000021673e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.129170000000021901e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.130170000000022128e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.131170000000022355e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.132170000000022583e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.133170000000022810e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.134170000000023038e+02,3.632000000000000028e+01,1.593000000000000000e+03
3.033170000000000073e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.034170000000000300e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.035170000000000528e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.036170000000000755e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.037170000000000982e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.038170000000001210e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.039170000000001437e+02,3.642000000000000171e+01,1.593000000000000000e+03
3.040170000000001664e+02,3.642000000000000171e+01,1.593000000000000000e+03
